Ticker,FloatShares
TXG,110256965
NXDR,211181869
VSTM,56551391
RR,103033794
EVGO,290354227
SNAP,1090693274
GDRX,286131669
CFLT,333627057
RUM,299665782
URGN,39553029
CHRS,105680678
VG,2381032317
VTEX,121064735
KYIV,
BHVN,92377653
PGEN,147637278
CYH,120189594
GIBO,2300839
QURE,48636653
UAA,423927738
SLQT,134013362
REKR,119917243
LAR,118042575
VFF,100064294
RLAY,130150477
WRD,258721281
LAB,365432078
GCI,119819957
THAR,1821723
RCKT,98889376
NUVB,230217953
OLPX,121488809
SPRY,58319573
GERN,604366707
SVC,153540576
KC,162580932
ATUS,383695581
NVCR,98860501
JMIA,61015327
NNOX,63426803
OPFI,78624634
SHLS,164324022
DRRX,27148979
MH,20477171
HAIN,88620001
GRRR,12734058
PRCH,62128058
MYGN,88351151
CSIQ,45346742
AXGN,43529392
PHAT,38011989
SEMR,39389343
BLDP,250251624
EVH,114239664
RXST,37480447
XPRO,114678774
AEO,158931805
VTLE,30376977
VIR,89570536
GDYN,78869512
SATL,49637817
UP,425602223
BLND,195860066
ORIC,45697634
RERE,140238092
OCGN,306676014
NIQ,57697575
ALT,87335540
MNMD,72523810
SLS,103109138
AUR,1318335114
NEO,25011173
UA,260034648
BORR,210669778
NAGE,51424495
JHX,576035900
MODG,129622955
TSHA,220042175
ACRS,92292364
TERN,69581738
UROY,112581380
ASTL,94256995
MIST,83511404
MBOT,45039156
DYN,109939485
AQST,94926928
EBS,51049106
COUR,136597336
MXL,80832212
HOUS,103733551
ZETA,188927368
HLF,100151394
GPRE,63433672
IMVT,70592632
OSCR,186100288
CRK,77873470
ARRY,150033221
ZIP,80890459
ARVN,64267124
AIOT,125118558
MNRO,28780313
WVE,126796068
AMPL,87306620
CCO,354826526
SVRA,80250120
CC,148575265
LBRT,155866292
BTU,120629388
ETNB,145862104
CERS,179177413
CLF,485530775
CORZ,284980900
ADPT,145251579
UDMY,83613030
GT,273411348
TLS,50819905
ALIT,465665629
ALDX,58171505
ARHS,132950202
COMM,201865567
MREO,131273341
GTN,85177791
QH,88041038
ARQT,104506560
HIVE,213002454
TRVI,80733158
GSM,118456747
INO,52720428
PL,221000564
JELD,83273158
BHC,326878354
NVD,0
TV,536102634
COTY,368574295
PPTA,106924225
OS,161337433
ACVA,168520409
SFIX,106831786
INHD,4856911
CLNE,160469330
AVAH,44844539
CTKB,115524989
GRND,41405239
ACB,56226673
SNDL,254033980
CNTA,85139694
AMLX,66519174
KURA,84201963
PD,85960458
PLTK,68994450
RKT,246317576
RXO,160632389
IART,65807279
NEXT,166148073
TDUP,96624638
FWRG,49530654
SDGR,62659210
CRMD,66883787
NIO,1942156873
LUMN,940907785
COGT,112559330
CWH,59202864
SNDX,83326954
CERT,116465410
ADMA,230447865
AVPT,122946693
ACHV,43277655
EXK,288905328
PTEN,347036368
AESI,77607615
RIG,783303980
DAWN,74639842
ADTN,68883717
NWL,416761422
VFC,365936646
TDOC,174736797
S,301034719
EVLV,133747699
HPP,373665064
HLX,137212312
ALHC,136085120
AIFF,5913969
PRO,43610081
DNLI,126499698
IQ,961025005
LC,110828283
MNKD,297966193
AHCO,90410182
MBLY,580052670
OCUL,145408839
AMC,510119217
TIGR,169989119
ZIM,119036234
GTM,275504107
TIC,86334918
TTI,125553758
RPAY,65868760
GENI,218086007
NN,62350971
BGS,76899636
FSLY,133338187
ARLO,100320152
CSAN,269640163
SID,1325989217
STGW,106745514
XERS,149836000
AVTR,663524297
HUN,163698883
HBI,347765148
OPK,358248555
JAMF,72153338
BTE,664465791
GOOS,96395636
UWMC,132462925
TALK,139266227
VSH,122010960
TVTX,86759320
FIGS,147181758
CLVT,398800682
WEAV,65959002
DLO,111181252
AG,453330552
EXPI,88837495
NEOG,215801855
WTI,97701702
OGN,259014784
CRON,197901477
DJT,128571455
TRIP,108415734
LION,34530351
JBLU,291091212
FLYW,113455748
FSM,303925700
RIVN,757774895
SBSW,706217308
XRAY,198202714
NXE,531088434
EH,34132563
REAX,114614620
CSTM,125371605
GO,93401993
CRGY,180792302
TUYA,452088538
FRSH,214337048
SONO,117834670
HP,95492437
TSLS,0
FINV,255903856
AUPH,118784754
CTRI,28776934
ASAN,129893984
WBD,2332598696
LILAK,163779849
GTI,46249281
GWAV,55461468
AVDL,88922855
LEG,131854477
BCTX,17366234
ARDX,232019878
SXC,83846784
WOW,50341356
HIMX,174500000
LFST,155860267
PLTD,
NNDM,211317089
RES,97403067
OI,150290970
TAL,588298362
XIFR,86123682
YMM,43977916
DNOW,104592782
DVAX,116622266
FOLD,300176084
VMEO,141112412
AMBP,137850539
MBC,129089093
NVDS,0
AXL,107924077
PAYO,272818664
ATEC,112265545
LZ,119907222
PBI,169044924
HL,620271857
SEM,105413339
VYX,133518561
PAGS,306342588
HBM,379654592
BRFS,1601203779
CDE,631180533
HLMN,193871803
OWL,1422034952
GES,29722280
MCW,97873225
MPW,495747607
TALO,129685486
CMBT,13651935
SBH,98045787
LU,418986623
UTZ,69659927
M,269411126
IAG,556198763
SHCO,160821335
INTR,329074841
LYFT,368221666
ECC,111714905
HLIT,110845127
YMAB,34485564
RC,162432802
RELY,165691304
HMY,621730787
PEB,115732492
BCRX,202701061
COMP,466587393
JBI,131930455
TBLA,116595140
SGHC,153093904
STNE,249483666
STLA,1928957539
GRAB,2459418245
UPWK,123042322
OXLC,463060326
SSRM,200152782
SFL,95365085
WEN,172998146
CGAU,199413670
MQ,374032107
SCS,101481984
PHLT,71482568
AAL,649404361
PSNY,2059244263
SQQQ,0
COLD,284083441
CLBT,108892037
NOV,368407449
BB,593265838
AES,708496158
UGP,1087959097
PGRE,185017982
DXC,174527783
LBTYK,270088608
PENN,144024004
CWK,228687321
DV,137071502
ECVT,111732952
BKD,210337530
MAC,250913247
GRFS,845487408
SHC,153312663
DBRG,179787166
VIAV,219687012
BDN,167593827
NU,4254025986
CXM,191302241
ZTO,794612140
PSEC,363479805
WB,238005552
PATH,409957703
KGC,1211243064
NOMD,126544589
SSL,629988665
ARCO,195202242
TAC,294604705
MLCO,130054528
TSYY,
DAN,129770849
ELAN,492131031
